City,ANotMinority,BNotMinority,Cminority,Dminority,AMUI,BMUI,CLMI, DLMI BID B/xPy HID H/xPy GINI Region PCTMIN PCTLMI
BINGHAMPTON NY,100%,100%,0%,0%,96%,57%,33%,100% 0.39 0.76 0.33 0.77 0.50 I 0% 93%
TRENTON,33%,45%,47%,100%,58%,53%,55%,100% 0.61 0.25 0.59 0.29 0.49 I 96% 94%
BUFFALO,97%,79%,49%,52%,92%,52%,82%,95% 0.69 0.29 0.52 0.53 0.46 1 42% 85%
STAMFORD,69%,72%,82%,100%,69%,67%,95%,94% 0.59 0.39 0.53 0.42 0.52 1 97% 84%
ROCHESTER,99%,68%,44%,92%,99%,72%,57%,93% 0.66 0.31 0.58 0.37 0.49 1 90% 80%
EAST HARTFORD,99%,35%,87%,88%,93%,28%,85%,90% 0.63 0.24 0.58 0.31 0.46 I 84% 71%
ALBANY,99%,88%,18%,47%,99%,71%,41%,89% 0.56 0.50 0.40 0.62 0.43 I 39% 70%
HOLYOKE,100%,82%,7%,10%,95%,24%,27%,87% 0.39 0.59 0.52 0.45 0.44 I 13% 68%
NEW HAVEN,75%,87%,50%,83%,100%,67%,49%,87% 0.61 0.31 0.55 0.35 0.52 I 78% 67%
ELMIRA,100%,100%,0%,0%,100%,73%,70%,77% 0.43 0.70 0.28 0.76 0.46 I 0% 46%
SYRACUSE,98%,81%,38%,46%,89%,59%,72%,77% 0.57 0.40 0.43 0.52 0.51 1 35% 45%
BOSTON CITY,93%,90%,56%,55%,0%,93%,54%,72% 0.68 0.23 0.57 0.34 0.54 1 46% 34%
MANCHESTER,100%,100%,0%,0%,100%,57%,44%,71% 0.35 0.78 0.37 0.76 0.43 1 0% 33%
ATLANTIC MY,99%,65%,46%,76%,100%,98%,48%,71% 0.75 0.19 0.63 0.28 0.55 I 67% 33%
PITTSBURGH,100%,89%,26%,32%,100%,82%,58%,70% 0.64 0.43 0.27 0.73 0.53 1 22% 28%
JOHNSTOWN,0%,100%,0%,0%,0%,84%,47%,67% 0.57 0.77 0.29 0.85 0.45 1 0% 25%
ERIE,100%,100%,15%,31%,100%,81%,43%,64% 0.57 0.59 0.43 0.66 0.45 I 19% 19%
UTICA,100%,98%,14%,10%,90%,89%,39%,63% 0.57 0.56 0.51 0.60 0.48 I 12% 19%
PHILADELPHIA,70%,64%,51%,69%,94%,80%,51%,61% 0.74 0.16 0.65 0.26 0.48 I 59% 18%
NEW CASTLE,100%,100%,10%,32%,100%,97%,39%,60% 0.54 0.74 025 0.87 0.47 1 19% 17%
NEW YORK CITY,91%,56%,67%,69%,95%,71%,34%,53% 0.81 0.10 0.64 0.19 0.55 1 57% 11%
NEW YORK MSA,91%,78%,55%,68%,96%,88%,30%,52% 0.79 0.13 0.62 0.23 0.51 1 54% 10%
BOSTON_MSA,99%,94%,14%,17%,99%,91%,31%,42% 0.63 0.36 0.57 0.44 0.48 1 13% 7%
Altoona,100%%,100%,0%%,0%,100%,92%,22%,22% 35% 0.34 0.92 0.20 0.93 0.45 1 0% 4%
HAMILTON,100%,100%,6%,56%,100%,33%,92%,100% 0.45 0.00 0.47 0.00 0.44 2 43% 93% 
WARREN,100%,100%,18%,90%,100%,88%,84%,100% 0.38 0.58 0.15 0.70 0.48 2 83% 94%
KENOSHA,100%,100%,26%,36%,100%,59%,88%,99% 0.44 0.58 0.37 0.60 0.43 2 18% 93%
CANTON,100%,91%,24%,80%,89%,46%,88%,100% 0.43 0.61 024 0.73 0.45 2 69% 95%
LORAIN,0%,91%,50%,59%,0%,60%,94%,100% 0.40 0.46 0.39 0.47 0.45 2 47% 97%
DECATUR,88%,83%,36%,50%,86%,25%,78%,98% 0.49 0.52 0.27 0.67 0.46 2 38% 93%
WICHITA,57%,84%,30%,42%,57%,73%,72%,98% 0.54 0.37 0.36 0.47 0.46 2 30% 93%
GRAND RAPIDS,100%,85%,12%,47%,100%,81%,44%,96% 0.50 0.48 0.49 0.48 0.46 2 34% 92%
AURORA,86%,41%,89%,96%,87%,42%,85%,96% 0.29 034 0.46 0.24 0.43 2 90% 91%
KANSAS CITY,100%,75%,53%,72%,100%,70%,75%,95% 0.67 0.24 0.56 0.40 0.46 2 57% 91%
FORT WAYNE,100%,94%,35%,39%,100%,54%,86%,95% 0.57 0.37 0.40 0.49 0.45 2 26% 91%
SPRINGFIELD IL,100%,98%,2%,46%,100%,48%,92%,94% 0.47 0.51 0.22 0.68 0.48 2 32% 90%
CLEVELAND,84%,70%,43%,85%,95%,81%,49%,93% 0.70 0.24 0.51 0.57 0.51 2 76% 90%
GARY,41%,52%,65%,72%,64%,45%,58%,93% 0.72 0.18 0.42 0.42 0.50 2 57% 88%
TOLEDO,87%,64%,35%,77%,92%,60%,62%,92% 0.61 0.39 034 0.66 0.46 2 64% 87%
LIMA,100%,88%,13%,29%,90%,64%,62%,91% 0.38 0.63 024 0.71 0.46 2 20% 84%
MUNCIE,0%,100%,10%,46%,0%,85%,78%,91% 0.45 0.60 0.14 0.81 0.46 2 31% 84%
ST LOUIS,86%,50%,58%,69%,88%,43%,75%,90% 0.72 020 0.37 0.56 0.46 2 53% 81%
KALAMAZOO,100%,96%,30%,41%,89%,71%,74%,87% 0.37 0.53 0.29 0.62 0.50 2 29% 79%
SPRINGFIELD MO,100%,100%,0%,0%,99%,98%,64%,87% 0.22 0.83 0.12 0.84 0.44 2 0% 79%