V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22
40,11,14,62,1,1,2,3,13,24, , ,1,0, CHF LAND REFORM, , , , , , ,DD
40,1,22,65,1,1,2,1,1,22, , ,1,0,"MANSOUR,PREMIER",BOKHARAII M,1,22,65,",",6,.3
40,4,12,65,2,1,2,1,10,30, , ,0,0, SHAH,SUB-MACHINE GUN,4,12,65,",",10,.5
41,3,24,54,2,1,2,1,1,30, , ,0,0,"FEISAL,KING", ,3,24,54,",",3,.6
41,10,8,59,2,1,2,1,1,20, , ,0,1,KASSIM, ,10,8,59,",",1,.2
41,10,14,59,2,2,2,1,1,20, , ,0,0,KASSIM, ,10,16,59,",",1,.1
41,10,25,59,2,1,2,1,1,20, , ,0,0,KASSIM, ,10,25,59,",",5,.4
41,1,0,66,1,1,1,1,2,28,30,200,1,0,"MUSTAFA B,COL",KURDS,2,4,66,",",11,.7
43,7,18,48,1,1,2,1,1,80, , ,1,0,"BERNADOTTI,UN MEDIATOR", ,9,18,48,",",1,.6
43,7,24,55,2,1,2,1,2,22, , ,0,0,"ROKACH I,MIN", ,7,24,55,",",31,.5
43,10,30,57,2,2,2,1,1,20, , ,0,5,"BEN GURION,PREMIER",DUEK M,10,30,57,",",1,.7
44,7,15,48,2,1,2,1,41,5, , ,0,1,"TOGLIATTI,DEPUTY,COMM","PALLANTE,STDT",7,15,48,",",1,.2
44,6,20,49,1,1,2,1,1,31, , ,1,0,"TORLONIA,PRINCE", ,6,20,49,",",8,.5
44,3,28,55,1,1,2,1,5,38, , ,2,2, CHRISTIAN DEM LOCAL LDR, ,3,28,55,",",4,.2
45,7,21,48,2,2,2,1,1,5, , ,0,0,"TOKUDA,PTY GEN SEC", ,7,21,48,",",13,.1
45,7,6,49,1,1,2,1,1,22, , ,1,0,"SHIMOYAMA,TRANSPORT MIN", ,7,6,49,",",16,.3
45,7,14,60,2,1,2,1,4,20, , ,0,1,"KISHI,PREM","ARAMAKI,T",7,14,60,",",1,.2
45,10,12,60,1,1,2,1,40,3, , ,1,0,"ASANUMA,SOCIALIST LDR","YAMAGUCHI,O STU",10,12,60,",",1,.5
45,8,20,61,2,2,2,1,1,34, , ,0,0,"MIKOYAS,USSR",PLOT IN JAPAN,8,20,61,",",13,.1
45,12,19,61,2,2,2,1,4,20, , ,0,0,"IKEDA,PREMIER",ULTRA RIGHTIST,12,12,61,",",17,.1
45,7,16,63,2,2,2,1,4,22, , ,0,0,"KONO,MIN",ULTRA-RIGHTIST,7,16,63,",",4,.4
45,11,5,63,2,1,2,1,4,20, , ,0,0,"IKEDA,PREMIER",RIGHTIST,11,5,63,",",15,.4
45,3,24,64,2,1,2,1,40,24, , ,0,0,"REISCHAUER,AMB",STUDENT,3,24,64,",",4,.4
46,7,21,51,1,1,2,1,4,31, , ,1,0,"ABDULLAH,KING","MASHU,MOSLEM",7,21,51,",",1,.6
46,7,13,58,2,2,2,1,1,30, , ,0,0,"HUSSEIN,KING", ,7,13,58,",",23,.3
46,3,29,60,2,2,2,1,1,24, , ,0,0,"MAJALI,PREM","UAR,CHARGED",3,29,60,",",30,.5
46,8,30,60,1,1,2,1,1,24, , ,1,0,"MAJALI,PREM",TIME BOMB,8,30,60,",",1,.6
46,3,15,63,2,2,2,1,1,30, , ,0,0,"HUSSEIN,KING", ,3,5,63,",",3,.6
46,5,1,64,2,2,2,1,1,30, , ,0,0,"HUSSEIN,KING",ANZTAHIR,5,1,64,",",5,.5
47,1,25,48,2,1,2,1,1,29, , ,0,0,"CHANG,POLICE CHIEF", ,1,25,48,",",40,.7
47,6,19,48,1,1,2,1,1,28, , ,1,0,"BAK,COL",SHOT IN SLEEP,6,19,48,",",6,.5
47,2,3,49,2,2,2,1,2,80, , ,0,0, UN COMMITTEE MEMBERS, ,2,12,49,",",1,.5
47,8,4,49,1,1,2,1,28,21, , ,1,0,"KIM KOO,EX-PROV LDR","AN DU HI,LT",8,4,49,",",10,.2
47,8,13,49,1,1,2,1,5,29, , ,1,0,"KIM HO SIK,POLICE CAPT",LEE YUNG WOON,8,13,49,",",2,.7
47,6,5,50,2,2,2,1,1,20, , ,0,0,"RHEE,PRES",CHO MAI,6,5,50,",",8,.6
47,12,26,50,2,1,2,1,2,22, , ,0,0,"TEX BAN CHANG,VICE MIN", ,12,26,50,",",2,.6
47,6,14,52,2,2,2,1,5,24, , ,0,0, GOVT LDRS,COMMUNISTS,6,14,52,",",2,.6
47,6,25,52,2,1,2,1,1,20, , ,0,0,"RHEE,PRES","TAI RS,ULT-NAT",6,25,52,",",1,.8
47,12,9,53,2,2,2,1,5,20, , ,0,0, GOVT LDRS,COMMUNISTS,12,9,53,",",4,.7
47,1,19,55,2,1,2,1,28,34, , ,0,0,"TAYLOR M,US ARMY C/S","KIM KAI OK,MAJ",1,19,55,",",3,.7
47,3,24,55,2,2,2,1,5,20, , ,0,0,"RHEE S,PRES",COMMUNISTS,3,24,55,",",10,.4
47,10,8,55,2,2,2,1,25,20, , ,0,0,"RHEE S,PRES","HO KJ,IND PTY",10,8,55,",",7,.1
47,1,30,56,1,1,2,1,28,28, , ,1,0,"KIM CHANG YONG,ARMY INT",HUH TAI YUNG,1,30,56,",",3,.4
47,9,28,56,2,1,2,1,1,22, , ,0,1,"CHANG,VICE PRES",KIM-SANG BOON,9,28,56,",",6,.5
47,3,9,60,1,1,2,1,1,25, , ,1,1, PTY LEADERS, , , , , , ,DD
47,1,14,62,2,2,2,1,1,20, , ,0,0,"PARK CHUNG KEE,PRES", ,1,13,62,",",2,.2
47,10,29,63,2,2,2,1,1,20, , ,0,0,"PARK,PRES", ,10,29,63,",",12,.5
47,9,19,64,2,2,2,1,1,20, , ,0,0,"PARK,PRES", ,9,19,64,",",3,.4
47,8,14,65,2,2,2,1,5,24, , ,0,0, GOVT OFFICIALS,NORTH KOREANS,8,14,65,",",3,.4
48,9,20,54,1,1,2,1,5,22, , ,1,0,KOUVORAVONG,COMM TERRORISTS,9,20,54,",",1,.4
48,2,12,63,1,1,2,1,1,28, , ,1,0,"VONGSAVONG K,EX-C/S", , , , , , ,DD
48,3,15,63,1,1,2,1,1,24, , ,1,0,"KHAMPHUEY THAO,INSP EDUC", , , , , , ,DD
48,4,2,63,1,1,2,1,1,22, , ,1,1,"QUINIM PHOLSENA,MIN", ,4,2,63,",",1,.8
48,4,7,63,1,1,2,1,1,22, , ,1,0,"TIM BURIPHAT,MIN", ,4,7,63,",",1,.7
48,4,13,63,1,1,2,1,1,29, , ,1,0,"VISAPHANTHONG KHANTI,COL", ,4,13,63,",",4,.6
48,4,20,63,2,1,2,1,1,22, , ,0,0,"PHOUMI VOGNVICHIT,MIN",PLANE SHOT,4,20,63,",",2,.4
48,12,6,63,1,1,2,1,1,28, , ,1,0,"LEUANG,COL INTEL CHIEF", ,12,6,63,",",7,.3
48,3,17,64,1,1,2,1,1,28, , ,1,0,"PRASEUTH,INT OFFICER", ,3,20,64,",",6,.5
48,3,13,66,2,1,2,1,1,31, , ,0,1,"NITH NIKHAM,PRINCE", ,3,13,66,",",32,.7
49,3,15,50,2,1,2,1,1,20, , ,0,0,"SOLH R ES-,PREMIER",SYRIAN ARMY,3,15,50,",",4,.5
49,10,31,50,1,1,2,1,1,34, , ,1,0,"HINNAWI,GEN",BARAZI A,10,31,50,",",14,.4
49,7,17,51,1,1,2,1,3,22, , ,1,0,"SOLH R ES-,EX-PREMIER",SYR NAT SOC PTY,7,17,51,",",12,.2
49,7,18,53,2,1,2,1,1,23, , ,0,0,"ABBOUD,PRES CAND", ,7,24,53,",",5,.3
49,7,24,53,1,1,2,1,1,23, , ,1,0,"ABBOUD,PRES CAND",POL OPPONENT,7,24,53,",",5,.3
49,11,23,56,2,1,2,1,1,20, , ,0,0,"EL YAFI,PREMIER", ,11,23,56,",",21,.2
49,7,30,58,2,1,2,1,1,20, , ,0,0,"SOLH R ES-,PREMIER", ,7,30,58,",",1,.7
49,8,10,58,1,1,2,1,1,25, , ,1,0,"HAMMOUD A, PTY LDR", , , , , , ,DD
49,5,19,59,2,1,2,1,1,20, , ,0,0,"KARAMI,PREMIER", ,5,19,59,",",5,.1
49,7,27,59,1,1,2,1,1,22, , ,1,0,"MOGHABGHAB N, EX-MIN", , , , , , ,DD
49,3,7,61,2,1,2,1,1,20, , ,0,0,SALAAM,5 PERSONS,7,1,61,",",4,.3
49,5,17,66,1,1,2,1,1,44, , ,1,0,MROWA K, ,5,17,66,",",6,.5
50,6,24,55,2,1,2,1,25,20, , ,0,0,"TUBMAN,PRES",OPPOSITION PTY,6,24,55,",",1,.2
50,2,6,63,2,2,2,1,1,20, , ,0,0,"TUBMAN,PRES", ,2,6,63,",",3,.1
51,10,6,54,1,1,2,1,31,22, , ,1,0,"SHALHI,PALACE AFF MIN","SINUSSI,QNREL",10,6,54,",",5,.2
53,1,13,50,1,1,2,1,1,33, , ,1,0,"STEWART,BRITISH GOV", ,1,13,50,",",5,.6
53,4,28,50,2,1,2,1,2,33, , ,0,0,"GIMSON F, GOV", , , , , , ,EB
53,10,7,51,1,1,2,1,5,24, , ,1,0,"GURNEY H,HIGH COMR", ,10,7,51,",",1,.6
53,5,2,53,1,1,2,1,5,5, , ,1,0, COMM GUER LDR,BODYGUARD,5,2,53,",",6,.5
53,9,15,53,1,1,2,1,5,5, , ,1,0, COMM GUER LDR,COMMUNIST,9,15,53,",",4,.3
53,10,10,57,2,2,2,1,1,20, , ,0,0,"RAHMAN,PRIME MIN", ,10,10,57,",",4,.5
54,2,18,48,1,1,2,1,1,24, , ,1,0,"ANGULO M,SENATOR", ,2,18,48,",",10,.6
54,6,22,58,1,1,2,1,1,3, , ,1,0,MONREAL J MARGUEZ, ,6,22,58,",",26,.2
54,3,7,59,1,1,2,1,1,27, , ,1,0,"ALTAMIRANO H,SEN",MARTINEZ E,3,7,59,",",8,.1
55,6,12,48,2,1,1,1,3,35,42,27,1,0,"HAJOUI MOHAMMED,PASHA",MOSLEM FANATIC,6,12,48,",",13,.1
55,9,12,53,2,1,2,1,1,30, , ,0,1, SULTAN, ,9,12,53,",",1,.6
55,2,26,54,2,1,2,1,1,39, , ,0,0, CALIPH OF CASABLANCA, ,2,26,54,",",3,.1
55,3,6,54,2,1,2,1,1,30, , ,0,1, SULTAN OF MOROCCO, ,3,6,54,",",1,.4
55,3,17,54,1,1,2,1,1,24, , ,1,0,"HAROUCINS S B, MORD OFF", ,3,17,54,",",6,.2
55,5,26,54,2,1,2,1,1,21, , ,0,0,GUILLAUMS, ,5,26,54,",",1,.3
55,6,21,54,2,1,2,1,1,33, , ,0,1,"D'HAUTEVILLE,MAJ GEN", ,6,21,54,",",4,.4
55,6,30,54,1,1,2,1,1,44, , ,1,0,"EYRAUD,PUBLISHER", , , , , , ,EB
55,8,30,54,2,1,2,1,1,27, , ,0,1, ISTIQUAL MEMBER, ,8,30,54,",",5,.2
55,10,17,54,1,1,2,1,1,32, , ,1,0,"SETTAT,SHEIKH", ,10,17,54,",",12,.2
55,3,2,55,1,1,2,1,2,25, , ,1,0,"MOULAY IDRISS,DEMFREEMEN", ,3,2,55,",",5,.5
55,6,12,55,1,1,1,4,28,11,3,18,1,0,LEMAIGRE-DUBREVIL, ,6,13,55,",",2,.3
55,10,30,55,1,1,2,1,2,3, , ,1,0,RAISSI BOUCHAID, ,10,30,55,",",16,.1
55,4,18,56,2,2,1,1,1,34,18,303,0,0,MENDES-FRANCE,2FR IN MOROCCO,4,18,56,",",10,.6
55,5,9,56,1,1,2,1,1,25, , ,1,0,"LARAQUI,DEM IND PTY SEC", ,5,10,56,",",4,.5
55,2,28,60,2,2,2,1,1,31, , ,0,0,"HASSAN,PRINCE", ,2,28,60,",",20,.3
55,8,16,63,2,2,2,1,1,30, , ,0,0,"HASSAN,KING", ,8,16,63,",",2,.1
57,12,23,52,2,2,2,1,1,22, , ,0,0,"HOLLAND,PM", ,12,23,52,",",4,.8
58,4,22,51,2,2,2,1,1,20, , ,0,0,"SOMOZA,PRES-ELECT", ,4,22,51,",",17,.1
58,4,6,54,2,1,2,1,1,20, , ,0,0,"SOMOZA, PRESIDENT", ,4,6,54,",",17,.1
58,9,23,56,1,1,2,1,1,20, , ,1,0,"SOMOZA,PRES",LOPEZ PEREZ R,9,23,56,",",1,.8
58,4,23,58,2,2,2,1,1,20, , ,0,0,"SOMOZA,PRES",GOMEZ R,4,23,58,",",15,.4
58,9,25,64,2,2,2,1,1,20, , ,0,0,"SCHICK,PRES",PRO-CUBANS,9,25,64,",",16,.4
60,3,15,49,2,2,2,1,2,82, , ,0,0,"KHAN AQ,NW PRVNCE PREM",RED SHIRTS,3,15,49,",",12,.3
60,10,17,51,1,1,2,1,4,20, , ,1,0,"LIAQUAT ALI KAHN,PM","AKTAR S,MOSLEM",10,17,51,",",1,.2
60,5,9,58,1,1,2,1,27,20, , ,1,0,ALI SHAHED,LEGISLATORS, , , , , ,EB
60,7,10,58,2,2,2,1,1,24, , ,0,0, GOVT MINS, ,7,10,58,",",6,.3
60,1,30,65,1,1,2,1,1,44, , ,1,0,"ZAQURESHI,JOURNALIST", ,1,30,65,",",5,.5
61,7,21,48,2,2,2,1,1,20, , ,0,0,"JIMENEZ,PRES", ,7,21,48,",",2,.3
61,3,2,51,2,2,2,1,1,29, , ,0,0,"REMON,POLICE CHIEF",NICARAGUANS,3,2,51,",",9,.1
61,1,2,55,1,1,2,1,1,20, , ,1,0,"REMON,PRES","MIRO R,GUIZADO",1,3,55,",",1,.8
61,5,21,64,2,1,2,1,24,44, , ,0,1,"CALVO E,ED LA HORA",BOYD A, , , , , ,DD
61,6,1,66,1,1,2,1,41,41, , ,1,0,"NAVAS J,STDT LDR",GRANADOS M,7,15,66,",",2,.5
62,3,29,49,2,2,2,1,25,22, , ,0,0,"RIVERA SCHREIBER,SECGEN","COX CM,APRISTA",3,29,49,",",3,.8
62,11,5,56,2,2,2,1,1,24, , ,0,0," GOV AIDES,COLORADO PTY", ,11,5,56,",",11,.3
62,10,2,64,2,2,2,1,28,20, , ,0,0,"STROESSNER,PRES",MILITARY,10,2,64,",",12,.2
64,1,17,48,2,2,2,1,1,20, , ,0,0,"QUIRINO,PRES", ,1,17,49,",",8,.7
64,4,29,49,1,1,1,4,2,3,91,200,2,0,"QUEZON,WIFE OF 1ST PRES",HUKS,4,29,49,",",1,.5
64,7,12,49,2,1,2,1,1,23, , ,0,0,"LAUREL JP,PRES CAND", ,7,12,49,",",10,.6
64,3,4,50,2,2,1,4,2,24,91,200,0,0, GOVT OFFICIALS,HUKS,3,4,50,",",5,.5
64,11,2,50,1,1,1,1,2,27,91,200,1,0,"FELICIANO J,CONG",HUKS,11,2,50,",",2,.5
64,7,29,51,2,2,2,2,2,20,91,200,0,0,"QUIRINO,PRES",HUKS,7,29,51,",",3,.6
64,1,2,53,2,1,2,1,14,35, , ,0,1, PROVINCIAL GOV,WORKER,1,2,53,",",18,.6
64,9,8,57,2,2,2,1,1,23, , ,0,0,"MANAHAN,PRES CAND", ,9,8,57,",",33,.1
64,10,13,57,2,2,2,1,1,20, , ,0,0,"GARCIA,PRES", ,10,13,57,",",3,.3
64,6,22,60,2,2,1,1,2,20,91,200,0,0,"GARCIA,PRES",HUKS,6,22,60,",",5,.5
64,11,20,61,2,2,2,1,1,20, , ,0,0,MACAPAGAL, ,11,20,61,",",17,.4
64,7,31,62,1,1,1,1,1,39,91,200,1,0,MAGALLOWS, ,7,31,62,",",11,.5
64,4,25,63,2,2,2,1,3,20, , ,0,0,"MACAPAGAL,PRES", ,4,25,63,",",14,.3
64,5,22,66,1,1,2,1,1,44, , ,1,0,"GARCIA A, PUB", ,5,22,66,",",79,.8
64,7,18,66,1,1,1,1,2,39,91,200,1,0, MAYOR,HUKS,7,18,66,",",11,.5
66,6,25,50,2,2,2,1,1,20, , ,0,0,"SALAZAR,PREMIER", ,6,25,50,",",29,.1
66,4,28,65,1,1,2,1,1,28, , ,1,0,"DELGADO,GEN", ,4,28,65,",",6,.1
68,5,4,57,2,2,2,1,1,30, , ,0,0,"SAUD,KING",EGYPT LINKED,5,4,57,",",1,.7
68,9,27,65,1,1,1,2,28,4,200,110,1,0,BEN MUSSAED KHALID,MILITARY,9,27,65,",",2,.1
69,2,21,50,1,1,2,1,28,24, , ,1,0,"GALLOSTRA J,MIN",FLEITAS GS,2,21,50,",",15,.3
69,5,25,62,2,2,2,1,1,6, , ,0,0,"PERON,EX-PRES OF ARG", ,5,25,62,",",7,.1
70,10,27,54,2,1,2,1,1,20, , ,0,0,"AZHARI,PREMIER", ,10,27,54,",",24,.8
73,10,13,50,2,1,2,1,1,28, , ,0,0,"SHISHAKLI,AST CHF STAFF","SHARABATE,EXMIN",10,13,50,",",5,.3
73,2,1,52,1,1,2,1,1,21, , ,1,0,"EL KODSI,EX PRES", ,2,10,52,",",6,.8
73,4,19,55,1,1,2,1,25,27, , ,1,0,"SHISHEKLY G,",SOCIALISTS,4,19,55,",",10,.4
73,4,23,55,1,1,2,1,25,28, , ,1,0,"MAKLI COL A,DEP C/S",SOC NATL PTY,4,23,55,",",4,.3
73,8,25,55,2,1,2,1,1,28, , ,0,1,"SALEH H,MIL PROSECUTOR", ,8,25,55,",",9,.5
73,2,22,56,2,2,2,1,25,28, , ,0,0, 3HIGH MIL OFFICERS,SOC NAT PTY MEM,2,22,56,",",30,.6
73,2,27,57,1,1,2,1,1,3, , ,1,0,"JEDID,COL,PTY LDR", ,2,27,57,",",8,.4
74,5,21,48,2,1,2,1,1,44, , ,0,1,"THONGWANITCH S,NEWSMAN", ,5,21,48,",",13,.6
74,3,11,57,2,2,2,1,1,24, , ,0,0, GOVT LDRS, ,3,14,57,",",9,.1
74,8,21,66,2,2,2,1,1,20, , ,0,0,"THANOM KITTIKACHORN,PRM",SOROT HEMAWONG,8,21,66,",",15,.4
75,6,15,52,2,2,2,1,1,31, , ,0,0, BEY OF TUNIS,POISON PLOT,6,15,52,",",18,.1
75,3,16,53,1,1,2,1,4,32, , ,1,0, MAHDIA CHIEF,NATIONALISTS,3,16,53,",",3,.1
75,5,3,53,1,1,2,1,4,38, , ,1,0,"KASTAUI,TUNIS C C VP",NATIONALISTS,5,3,53,",",1,.5
75,6,2,53,2,1,2,1,1,22, , ,0,0,"RAIS,MIN", ,6,2,53,",",3,.6
75,6,2,53,2,1,2,1,1,22, , ,0,0,"RAIS B, MIN OF COMMERCE", GUNMAN,6,2,53,",",3,.6
75,7,2,53,1,1,2,1,1,31, , ,0,0,"AZZEDINE BEY,PRINCE", ,7,2,53,",",1,.4
75,7,18,53,1,1,2,1,1,32, , ,1,0, PRO-FRENCH CHIEF, ,7,18,53,",",5,.3
75,9,9,53,1,1,2,1,1,32, , ,1,0, PRO-FRENCH SHEIK, ,9,9,53,",",13,.3
75,9,13,53,2,1,2,1,1,29, , ,0,1,"TOUMI,GEN,PRO-FR INSP", ,9,13,53,",",10,.1
75,9,14,53,1,1,2,1,1,25, , ,1,0, NATIONALIST LDR, ,9,14,53,",",12,.3
75,5,31,54,2,1,2,1,1,20, , ,0,0,"M'ZALI,PREMIER", ,5,30,54,",",10,.1
75,8,3,54,1,1,2,1,1,29, , ,1,0, FR INSPECTOR OF SOUSSE, ,8,4,54,",",3,.1
75,5,23,55,1,1,2,1,2,25, , ,1,0, DESTOUR PTY LDR, ,5,24,55,",",7,.1
75,3,27,56,1,1,2,1,2,27, , ,1,0,"BOUZAINE H,DEPUTY",TERRORIST,3,27,56,",",17,.1
75,3,1,58,2,2,2,1,1,20, , ,0,0,"BOURGUIBA,PRES",BEN YOUSSEF S,3,1,58,",",4,.1
75,12,27,62,2,2,2,1,28,20, , ,0,0,BOURGUIBA,MEHREZI,12,27,62,",",2,.3
76,11,17,49,2,2,2,1,25,20, , ,0,0,"INONU,PRES",NATION PTY MEM,11,17,49,",",1,.2
76,10,7,57,2,1,2,1,1,22, , ,0,0, CABINENT MINS, ,10,7,57,",",2,.5
76,1,29,61,2,1,2,1,21,20, , ,0,0, OPPOSITION LDR,"MENDERES,EXPREM",1,29,61,",",24,.3
76,2,22,64,2,1,2,1,1,20, , ,0,0,"INONU,PREMIER",SUNA M,2,22,64,",",1,.8
77,4,10,60,2,1,2,1,13,20, , ,0,1,"VERWOERD,PRIME MIN",PRATT WHT FRMR,4,10,60,",",1,.8
77,2,7,63,1,1,2,1,1,32, , ,1,0,"GOOBOZA,CHF TEMBU TRIBE",POQO MEMBERS, , , , , ,DD
77,9,6,66,1,1,2,1,1,20, , ,1,0,"VERWOERD,PRIME MIN","TSAFENDAS,WHITE",9,7,66,",",1,.8
79,4,20,48,2,1,2,3,1,15, , ,0,1,"REUTHER W,LAB LDR", , , , , , ,EB
79,11,1,50,2,1,1,4,4,20,68,200,0,0,"TRUMAN H,PRES",PR NATIONALISTS,11,2,50,",",1,.7
79,3,1,54,2,1,1,1,4,27,68,200,0,5, REPRESENTATIVES,PR NATLS, , , , , ,EB
79,4,12,59,2,1,2,1,1,35, , ,0,1,"ALMOND,GOV OF VIRG.", ,4,12,59,",",70,.5
79,4,2,61,2,2,2,1,1,20, , ,0,0,"KENNEDY JF,PRES", ,4,2,61,",",48,.5
79,12,2,62,2,1,2,1,1,15, , ,0,0,"HOFFA JR,TEAMSTER UNION",SWANSON W,12,6,62,",",47,.3
79,4,12,63,2,1,2,1,1,24, , ,0,0,WALKER, ,4,12,63,",",12,.2
79,5,12,63,2,1,1,5,1,3,200,46,0,0,"KING AD,REVERAND", , , , , , ,DD
79,6,13,63,1,1,1,4,1,3,200,46,1,0,"EVERS MEDGAR, CIV RTS LD",R,6,13,63,",",1,.8
79,11,23,63,1,1,2,1,1,20, , ,1,0,"KENNEDY J,CONNALLY J",OSWALD LEE H,11,23,63,",",1,.7
79,11,24,63,1,1,2,1,1,1, , ,1,0,"OSWALD LH,",RUBY J, , , , , ,DD
79,2,15,65,2,2,1,4,1,3,200,46,0,0,"KING MARTIN L,CIV RTS LD",R,2,24,65,",",28,.1
79,2,22,65,1,1,2,1,1,3, , ,1,0,"MALCOLM X,BLK MUSLIMS",HAGAN T,2,22,65,",",1,.2
79,3,21,65,2,1,1,5,1,3,200,46,0,0,"KING AD,REVERAND", , , , , , ,DD
79,7,20,65,2,1,2,1,11,24, , ,0,0,"TAYLOR MAXWELL,AMB", ,7,20,65,",",1,.7
79,8,26,67,1,1,2,1,1,25, , ,1,0,"ROCKWELL L,AM NAZI PTY",SNIPER,8,26,67,",",1,.2
82,11,14,50,1,1,2,1,28,20, , ,1,0,"DELGADO CHALBAUD,PRES","URBINA,GEN",11,14,50,",",1,.6
82,4,21,51,2,2,2,1,20,21, , ,0,0,"BETANCOURT,EX-PRES",MIL JUNTA,4,21,51,",",9,.7
82,3,28,52,2,2,2,1,1,24, , ,0,0,ADENAUER,BOMB IN MAIL,3,28,52,",",4,.3
82,12,18,57,2,2,2,1,1,24, , ,0,0, ALLEDGED PLOTS, ,12,18,57,",",20,.4
82,6,25,60,2,1,2,1,1,20, , ,1,0,"BETANCOURT,PRES", ,6,25,60,",",1,.6
82,2,8,63,2,1,2,1,5,25, , ,0,0,"LEONI R,DEM ACTION PTY", , , , , , ,DD
82,2,13,63,2,1,2,1,5,28, , ,0,0,"GONZALEZ J,COL", , , , , , ,DD
82,6,13,63,2,1,2,1,1,20, , ,0,0,"BETANCOURT,PRES", ,6,13,63,",",1,.1
82,11,27,63,2,2,2,1,1,23, , ,0,0, PRES CANDIDATES,BOMBS IN MAIL,11,27,63,",",3,.6
82,12,2,63,2,1,2,1,1,28, , ,0,0,"MARACAY,US MIL",HOUSE BOMBED,11,2,63,",",10,.7
82,4,27,65,2,2,2,1,1,20, , ,0,0,"LEONI,PRES", ,4,27,65,",",22,.5
82,12,13,66,2,1,2,1,2,28, , ,0,0,"MOREAN SOTO,ARMY C/S", ,12,14,66,",",17,.1
83,8,15,61,1,1,2,1,1,6, , ,1,0,SALAH BEN YOUSSEF,3FOREIGNERS,8,15,61,",",10,.3
83,9,1,66,1,1,2,1,6,34, , ,1,0,"MILOVANOVIC,YUGO CONSUL","GORETA F,EXILE",9,1,66,",",15,.3
84,4,5,59,2,2,1,1,3,20,17,200,0,0,TITO,CROATS,4,5,59,",",6,.2
84,3,27,67,2,1,2,1,1,20, , ,0,0,"TITO,PRES",CRABOVAC M,3,27,67,",",6,.4
